ID,F_cell,F_p,Psyndeter,Psyn,638 Red(Peak)
1,113.91974576108764,"[33, 46, 29, 32, 22, 28, 23, 41, 25, 36, 9, 22, 32]",12.844908771989829,98.31488767696314,98.31488767696314
2,143.63794030745834,"[35, 14, 4, 43, 0, 12, 36, 50, 6, 52, 129, 34]",11.216596434932264,107.40939560074163,107.40939560074163
3,138.6849078830632,"[60, 17, 2, 47, 45, 0, 36, 32]",7.0932377519655505,70.39495930385347,70.39495930385347
4,143.63794030745834,"[2, 38, 90, 36, 46, 13, 24, 37, 29]",8.397255163637421,89.06833274099142,89.06833274099142
5,94.10761606350718,"[16, 30, 40, 26, 8, 60, 24, 8]",7.3768965898856065,60.7956425440454,60.7956425440454
6,133.7318754586681,"[32, 70, 24, 14, 9, 78, 56, 22, 29, 47]",9.035489323840094,94.77020004295198,94.77020004295198
7,69.3424539415316,"[18, 72, 15, 23, 18, 7, 54, 84, 18]",8.933989735413983,76.1461336940557,76.1461336940557
8,237.74555637096552,"[25, 0, 45, 25, 21, 46, 91, 8, 70]",8.877916645895155,113.10237316930956,113.10237316930956
9,99.0606484879023,"[0, 32, 9, 0, 14, 44, 0, 8, 62, 24]",9.270710758282718,55.43224496864013,55.43224496864013
10,128.778843034273,"[57, 23, 41, 6, 59, 0, 39, 46, 17, 0, 46]",10.791841729175921,91.50022122694108,91.50022122694108
11,49.53032424395115,"[18, 30, 9, 0, 77, 0, 32, 37, 29, 23, 23]",10.667195653772488,64.58181511294728,64.58181511294728
12,29.71819454637069,"[13, 27, 23, 54, 5, 17, 3, 14, 53, 31, 26, 30]",11.528741200923568,62.90700400818175,62.90700400818175
13,1263.0232682207543,"[37, 31, 54, 4, 29, 85, 18, 22, 50, 58, 46, 37, 12]",12.23978889365964,350.6742104876867,350.6742104876867
14,49.53032424395115,"[27, 7, 33, 50, 32, 10, 35, 57, 22, 9, 11, 55, 22, 26, 7]",14.150974943933813,90.16439033427625,90.16439033427625
15,1986.1660021824412,"[45, 0, 47, 31, 25, 57, 0, 45]",7.671628900469795,448.49076532642863,448.49076532642863
16,416.05472364918967,"[3, 1, 70, 4, 45, 13, 40, 16, 46, 44, 6]",10.632398841774975,141.70089281932215,141.70089281932215
17,104.01368091229742,"[57, 19, 25, 10, 19, 2, 31, 53, 17, 10, 39]",10.365300277132949,72.93721517775064,72.93721517775064
18,168.40310242943391,"[83, 28, 0, 25, 11, 36, 0, 6, 59, 17, 0]",10.580669989955595,87.50257726858368,87.50257726858368
19,193.1682645514095,"[90, 45, 79, 18, 29, 66, 15, 59, 8, 97]",9.077038926423786,123.0844032863299,123.0844032863299
20,84.20155121471696,"[69, 15, 20, 40, 29, 30, 32, 15, 26, 49, 54, 65]",11.386533724501948,98.59136816916356,98.59136816916356
21,39.62425939516092,"[28, 67, 34, 23, 46, 17, 49, 2, 40, 18, 91, 65, 12, 24]",13.404930170520805,109.29518264838963,109.29518264838963
22,79.24851879032184,"[0, 6, 16, 24, 0, 49, 93, 0, 0, 125, 61]",10.54642390087568,85.92319619141439,85.92319619141439
23,118.87277818548276,"[33, 0, 39, 36, 64, 0, 22, 19, 26, 4, 70]",10.013298473272611,73.24879795408822,73.24879795408822
24,733.048798810477,"[0, 34, 25, 25, 0, 28, 42, 30, 17]",8.361447748871237,186.38953502389643,186.38953502389643
25,74.29548636592672,"[37, 51, 64, 48, 12, 50, 10, 28, 32, 18, 26, 8]",11.188390427281918,91.21737373632438,91.21737373632438
26,153.54400515624857,"[43, 0, 26, 69, 55, 42, 25, 50, 10, 54, 29, 98, 66]",12.058298737973727,132.9269961205473,132.9269961205473
27,24.765162121975575,"[51, 125, 66, 57, 37, 11, 54, 0, 43, 6]",9.93542335614357,95.77520630036454,95.77520630036454
28,168.40310242943391,"[11, 6, 20, 0, 29, 9, 21, 87]",7.304480575528923,58.73026614316486,58.73026614316486
29,113.91974576108764,"[25, 20, 0, 68, 9, 16, 36, 42, 22, 23, 32]",10.728028306920876,80.39855536200886,80.39855536200886
30,84.20155121471696,"[60, 34, 49, 68, 79, 54, 44, 5, 5, 41, 37, 0, 18]",12.776101825132852,115.92320317532109,115.92320317532109
31,113.91974576108764,"[2, 68, 12, 29, 84, 75, 14, 34]",7.913174705629446,86.60708208565303,86.60708208565303
32,133.7318754586681,"[36, 26, 23, 0, 52, 0, 45, 10, 37, 17]",9.390421221591264,74.57432226901452,74.57432226901452
33,34.6712269707658,"[54, 0, 6, 5, 19, 10, 15, 27, 4, 12]",9.991111345255923,37.66673567387779,37.66673567387779
34,104.01368091229742,"[35, 0, 16, 0, 41, 32, 6, 49, 60, 20, 0]",10.39679783837876,73.29119816061575,73.29119816061575
35,64.3894215171365,"[35, 22, 47, 125, 19, 77, 73, 16, 56, 11, 40, 6]",11.664366938987687,118.99288610512976,118.99288610512976
36,128.778843034273,"[17, 115, 9, 20, 17, 24, 52, 2, 80, 3, 0, 53]",11.043943229032969,94.91313480154167,94.91313480154167
37,153.54400515624857,"[10, 73, 12, 51, 116, 11, 2, 50, 18, 30, 10, 61, 57]",12.72729738911194,129.01186618290035,129.01186618290035
38,128.778843034273,"[34, 5, 40, 24, 41, 40, 13, 16, 37, 17, 9, 0]",11.256543027791299,81.72343896652488,81.72343896652488
